customer_id,customer_name,customer_email,customer_age,product_id,product_name,product_price,order_id,order_date,quantity_ordered,total_amount,review_id,review_text,review_rating
1,Gregory Stanley,adamandrews@example.net,57,841,Headphones,362.3268232196991,1,2020-07-07 23:56:36,1,362.3268232196991,1,"Huge play yeah memory.
Money hair have media others college stock. Cost focus here Republican.",3.0
2,Philip Reese,bramos@example.net,30,761,Camera,1103.689488023959,2,2020-06-14 00:02:20,4,4414.757952095836,2,Receive list ok run drop result remember state. Evidence plant better growth.,3.0
3,Michael Keller,michelletaylor@example.org,53,698,Laptop,737.0285578018337,3,2022-05-23 22:00:43,4,2948.114231207335,3,Enter never our determine beautiful car cell. Begin model occur although.,3.0
4,Christopher House,tanyawalker@example.com,63,693,Smartphone,442.5669819405781,4,2021-06-15 07:24:19,3,1327.7009458217344,4,Behind hand lose find. Because leg represent woman throw whose. Moment medical capital fear when.,1.0
5,Beth Turner,peggyramos@example.net,38,645,Laptop,1765.7049335525335,5,2021-06-26 20:21:39,3,5297.1148006576,5,,
6,Renee Hubbard,gbutler@example.net,30,482,Headphones,963.8798720998302,6,2020-10-08 23:37:48,4,3855.519488399321,6,Marriage major maintain available. Hot go price.,
7,Danielle Sanchez,gsolis@example.org,43,974,Camera,175.6706863667181,7,2021-06-26 09:30:32,4,702.6827454668723,7,,2.0
8,Dustin Suarez,randy63@example.org,30,396,Laptop,604.9881763183629,8,2022-10-11 05:00:27,2,1209.9763526367258,8,Project ability per wide. Performance choose include again indeed once.,5.0
9,Christopher Gomez,nrush@example.org,25,330,Tablet,1940.5644056877902,9,2022-06-09 05:02:53,3,5821.693217063371,9,Here field drive keep that military. Significant value for purpose.,
10,Bethany Jimenez,rnguyen@example.com,37,858,Smartphone,1675.8001587447918,10,2022-04-12 07:29:35,3,5027.400476234376,10,Cost phone none rate tree consider. Reach number court center.,3.0
11,Michael West,galvanmatthew@example.net,41,119,Smartphone,1305.5797481672641,11,2020-03-31 14:02:13,4,5222.318992669057,11,Them look she bank. Approach mean read break possible. Interest deal behavior dream prove score.,2.0
12,Joanne Martin,npierce@example.com,35,891,Laptop,104.75408575068734,12,2022-05-13 01:51:59,3,314.262257252062,12,General likely them rate continue foot.,
